[2025-07-23 17:29:08] (Elapsed: 0.02s) Video stream started successfully.
[2025-07-23 17:29:10] (Elapsed: 2.52s) Detected: car with confidence 0.87
[2025-07-23 17:29:10] (Elapsed: 2.52s) Detected: car with confidence 0.80
[2025-07-23 17:29:10] (Elapsed: 2.52s) Detected: car with confidence 0.77
[2025-07-23 17:29:10] (Elapsed: 2.52s) Detected: car with confidence 0.75
[2025-07-23 17:29:10] (Elapsed: 2.52s) Detected: car with confidence 0.59
[2025-07-23 17:29:10] (Elapsed: 2.52s) Detected: car with confidence 0.54
[2025-07-23 17:29:10] (Elapsed: 2.52s) Detected: car with confidence 0.43
[2025-07-23 17:29:10] (Elapsed: 2.52s) Detected: car with confidence 0.41
[2025-07-23 17:29:10] (Elapsed: 2.52s) Detected: car with confidence 0.40
[2025-07-23 17:29:10] (Elapsed: 2.52s) Detected: car with confidence 0.38
[2025-07-23 17:29:10] (Elapsed: 2.52s) Detected: car with confidence 0.33
[2025-07-23 17:29:10] (Elapsed: 2.52s) Detected: car with confidence 0.31
[2025-07-23 17:29:10] (Elapsed: 2.52s) Detected: car with confidence 0.28
[2025-07-23 17:29:10] (Elapsed: 2.52s) Detected: car with confidence 0.28
[2025-07-23 17:29:10] (Elapsed: 2.52s) Processing frame 1
[2025-07-23 17:29:10] (Elapsed: 2.87s) Detected: car with confidence 0.88
[2025-07-23 17:29:10] (Elapsed: 2.87s) Detected: car with confidence 0.79
[2025-07-23 17:29:10] (Elapsed: 2.87s) Detected: car with confidence 0.79
[2025-07-23 17:29:10] (Elapsed: 2.87s) Detected: car with confidence 0.78
[2025-07-23 17:29:10] (Elapsed: 2.87s) Detected: car with confidence 0.61
[2025-07-23 17:29:10] (Elapsed: 2.87s) Detected: car with confidence 0.56
[2025-07-23 17:29:10] (Elapsed: 2.87s) Detected: car with confidence 0.44
[2025-07-23 17:29:10] (Elapsed: 2.87s) Detected: car with confidence 0.43
[2025-07-23 17:29:10] (Elapsed: 2.87s) Detected: car with confidence 0.35
[2025-07-23 17:29:10] (Elapsed: 2.87s) Detected: car with confidence 0.33
[2025-07-23 17:29:10] (Elapsed: 2.87s) Detected: car with confidence 0.26
[2025-07-23 17:29:10] (Elapsed: 2.87s) Detected: car with confidence 0.26
[2025-07-23 17:29:10] (Elapsed: 2.87s) Processing frame 2
[2025-07-23 17:29:11] (Elapsed: 3.07s) Detected: car with confidence 0.89
[2025-07-23 17:29:11] (Elapsed: 3.07s) Detected: car with confidence 0.83
[2025-07-23 17:29:11] (Elapsed: 3.07s) Detected: car with confidence 0.78
[2025-07-23 17:29:11] (Elapsed: 3.07s) Detected: car with confidence 0.71
[2025-07-23 17:29:11] (Elapsed: 3.07s) Detected: car with confidence 0.54
[2025-07-23 17:29:11] (Elapsed: 3.07s) Detected: car with confidence 0.53
[2025-07-23 17:29:11] (Elapsed: 3.07s) Detected: car with confidence 0.44
[2025-07-23 17:29:11] (Elapsed: 3.07s) Detected: car with confidence 0.40
[2025-07-23 17:29:11] (Elapsed: 3.08s) Detected: car with confidence 0.29
[2025-07-23 17:29:11] (Elapsed: 3.08s) Detected: car with confidence 0.28
[2025-07-23 17:29:11] (Elapsed: 3.08s) Detected: car with confidence 0.26
[2025-07-23 17:29:11] (Elapsed: 3.08s) Detected: car with confidence 0.25
[2025-07-23 17:29:11] (Elapsed: 3.08s) Processing frame 3
[2025-07-23 17:29:11] (Elapsed: 3.27s) Detected: car with confidence 0.89
[2025-07-23 17:29:11] (Elapsed: 3.27s) Detected: car with confidence 0.79
[2025-07-23 17:29:11] (Elapsed: 3.27s) Detected: car with confidence 0.77
[2025-07-23 17:29:11] (Elapsed: 3.27s) Detected: car with confidence 0.76
[2025-07-23 17:29:11] (Elapsed: 3.27s) Detected: car with confidence 0.59
[2025-07-23 17:29:11] (Elapsed: 3.27s) Detected: car with confidence 0.51
